episode,external_return,success,positive_feedback_count,positive_feedback_rate,episode_length,epsilon,mean_q_loss
31,1.0,1,1,0.03225806451612903,31,0.9846156900862658,0.0008216978866614461
32,1.0,1,1,0.037037037037037035,27,0.9841233822412228,0.0018622095047720467
33,1.0,1,1,0.02127659574468085,47,0.9836313205501022,0.0032009918563454315
34,1.0,1,1,0.006711409395973154,149,0.9831395048898272,0.002175506655769048
35,1.0,1,1,0.010638297872340425,94,0.9826479351373822,0.002092569498772525
36,1.0,1,1,0.011764705882352941,85,0.9821566111698136,0.0018730352675501148
37,0.0,0,0,0.0,200,0.9816655328642288,0.0021037776852608657
38,0.0,0,0,0.0,200,0.9811747000977967,0.0021943419832678047
39,1.0,1,1,0.029411764705882353,34,0.9806841127477479,0.0020094191035348236
40,0.0,0,0,0.0,200,0.9801937706913741,0.001492235866644478
41,0.0,0,0,0.0,200,0.9797036738060285,0.0016860991556677618
42,0.0,0,0,0.0,200,0.9792138219691255,0.0013449056086756173
43,0.0,0,0,0.0,200,0.978724215058141,0.001778138810514065
44,0.0,0,0,0.0,200,0.978234852950612,0.0019760799165305797
45,1.0,1,1,0.013888888888888888,72,0.9777457355241367,0.0013972605011076666
46,0.0,0,0,0.0,200,0.9772568626563747,0.0016990122420247643
47,0.0,0,0,0.0,200,0.9767682342250465,0.0013198045419630944
48,0.0,0,0,0.0,200,0.976279850107934,0.0013296433054347289
49,0.0,0,0,0.0,200,0.9757917101828801,0.0012917862587346462
50,1.0,1,1,0.045454545454545456,22,0.9753038143277888,0.00156603818587345
51,1.0,1,1,0.05,20,0.974816162420625,0.0014170396119880025
52,1.0,1,1,0.006896551724137931,145,0.9743287543394147,0.0013070174584221416
53,1.0,1,1,0.01818181818181818,55,0.973841589962245,0.0011529861441390082
54,1.0,1,1,0.011627906976744186,86,0.973354669167264,0.0009495613102931096
55,1.0,1,1,0.013333333333333334,75,0.9728679918326804,0.0011071084976235093
56,1.0,1,1,0.012345679012345678,81,0.972381557836764,0.0017534617124769238
57,0.0,0,0,0.0,200,0.9718953670578457,0.0014931836679897969
58,1.0,1,1,0.017543859649122806,57,0.9714094193743169,0.001199377216643801
59,0.0,0,0,0.0,200,0.9709237146646298,0.0011735488134945627
60,1.0,1,1,0.005952380952380952,168,0.9704382528072976,0.0010991220814979723
61,1.0,1,1,0.019230769230769232,52,0.9699530336808939,0.0009699997824030176
62,0.0,0,0,0.0,200,0.9694680571640535,0.0011459979407300125
63,1.0,1,1,0.008771929824561403,114,0.9689833231354715,0.00106362127495997
64,1.0,1,1,0.02127659574468085,47,0.9684988314739038,0.0012617635421771952
65,0.0,0,0,0.0,200,0.9680145820581669,0.0007191585932014278
66,0.0,0,0,0.0,200,0.9675305747671379,0.000989370124952984
67,0.0,0,0,0.0,200,0.9670468094797544,0.001340899509305018
68,0.0,0,0,0.0,200,0.9665632860750146,0.0008809158357689739
69,1.0,1,1,0.01282051282051282,78,0.9660800044319772,0.0010049821468829834
70,0.0,0,0,0.0,200,0.9655969644297613,0.0014927069730401854
71,0.0,0,0,0.0,200,0.9651141659475465,0.0012094213424279588
72,1.0,1,1,0.047619047619047616,21,0.9646316088645728,0.0015604734521946825
73,1.0,1,1,0.05,20,0.9641492930601405,0.001010223801858956
74,1.0,1,1,0.014705882352941176,68,0.9636672184136105,0.0009409149882712346
75,0.0,0,0,0.0,200,0.9631853848044037,0.0012090355711916346
76,0.0,0,0,0.0,200,0.9627037921120016,0.0010821932885301067
77,1.0,1,1,0.012048192771084338,83,0.9622224402159457,0.0007027947095451394
78,1.0,1,1,0.014925373134328358,67,0.9617413289958378,0.0008619955067354282
79,1.0,1,1,0.019230769230769232,52,0.9612604583313399,0.0013467821175324318
80,1.0,1,1,0.02857142857142857,35,0.9607798281021742,0.0013610258353375165
81,1.0,1,1,0.047619047619047616,21,0.9602994381881231,0.0006683044186848704
82,0.0,0,0,0.0,200,0.9598192884690291,0.001266572607892158
83,0.0,0,0,0.0,200,0.9593393788247946,0.0009399569288871134
84,1.0,1,1,0.006493506493506494,154,0.9588597091353822,0.0013774397253631856
85,0.0,0,0,0.0,200,0.9583802792808146,0.0011973984596625087
86,1.0,1,1,0.023809523809523808,42,0.9579010891411742,0.0008220258854895032
87,1.0,1,1,0.018518518518518517,54,0.9574221385966036,0.0013678186043290662
88,0.0,0,0,0.0,200,0.9569434275273054,0.0011532183269082452
89,0.0,0,0,0.0,200,0.9564649558135419,0.0010985527036973509
90,1.0,1,1,0.015625,64,0.9559867233356352,0.0012832439870180679
91,1.0,1,1,0.013513513513513514,74,0.9555087299739674,0.001232570790110716
92,1.0,1,1,0.017543859649122806,57,0.9550309756089804,0.0017948960344176413
93,0.0,0,0,0.0,200,0.954553460121176,0.0013730469714209903
94,0.0,0,0,0.0,200,0.9540761833911156,0.0011684021377004682
95,1.0,1,1,0.008771929824561403,114,0.95359914529942,0.0012676935809411173
96,0.0,0,0,0.0,200,0.9531223457267703,0.0010807230088903453
97,0.0,0,0,0.0,200,0.952645784553907,0.0014299888245659532
98,1.0,1,1,0.014492753623188406,69,0.9521694616616301,0.001316644965128575
99,0.0,0,0,0.0,200,0.9516933769307994,0.0013169600774926948
100,1.0,1,1,0.08333333333333333,12,0.951217530242334,0.0018289483759872383
101,0.0,0,0,0.0,200,0.9507419214772129,0.0012488278378077666
102,1.0,1,1,0.017543859649122806,57,0.9502665505164744,0.001582896852995506
103,1.0,1,1,0.011235955056179775,89,0.9497914172412162,0.001062685342046453
104,0.0,0,0,0.0,200,0.9493165215325956,0.0013311176952629468
105,0.0,0,0,0.0,200,0.9488418632718294,0.001180559220520081
106,1.0,1,1,0.038461538461538464,26,0.9483674423401935,0.00100286047717628
107,1.0,1,1,0.0625,16,0.9478932586190235,0.0007128666516109661
108,0.0,0,0,0.0,200,0.9474193119897141,0.0009795025598577922
109,1.0,1,1,0.011235955056179775,89,0.9469456023337193,0.0009861086376516273
110,0.0,0,0,0.0,200,0.9464721295325524,0.0014762532513486804
111,1.0,1,1,0.0125,80,0.9459988934677862,0.001092582748606219
112,1.0,1,1,0.03571428571428571,28,0.9455258940210524,0.0009346491637448448
113,0.0,0,0,0.0,200,0.9450531310740419,0.001027846796423546
114,0.0,0,0,0.0,200,0.9445806045085049,0.0012871676061331527
115,1.0,1,1,0.011494252873563218,87,0.9441083142062507,0.0012902885423866153
116,1.0,1,1,0.022222222222222223,45,0.9436362600491477,0.0012465292259649788
117,1.0,1,1,0.06666666666666667,15,0.9431644419191232,0.0011318714517983609
118,1.0,1,1,0.010752688172043012,93,0.9426928596981636,0.0012692404427109988
119,0.0,0,0,0.0,200,0.9422215132683146,0.001054536362971703
120,1.0,1,1,0.05263157894736842,19,0.9417504025116805,0.0010314301835023798
121,1.0,1,1,0.024390243902439025,41,0.9412795273104247,0.0011169933976616893
122,0.0,0,0,0.0,200,0.9408088875467696,0.001436940119638166
123,1.0,1,1,0.014705882352941176,68,0.9403384831029963,0.0011338270089575363
124,0.0,0,0,0.0,200,0.9398683138614449,0.0011450275563765898
125,1.0,1,1,0.009433962264150943,106,0.9393983797045142,0.0009910320325118693
126,1.0,1,1,0.007874015748031496,127,0.938928680514662,0.0012694161848667421
127,1.0,1,1,0.011904761904761904,84,0.9384592161744048,0.001353246347900408
128,0.0,0,0,0.0,200,0.9379899865663176,0.0011666427118325372
129,1.0,1,1,0.07142857142857142,14,0.9375209915730345,0.0011532383229808016
130,1.0,1,1,0.011111111111111112,90,0.937052231077248,0.001330897475175637
131,0.0,0,0,0.0,200,0.9365837049617094,0.001279137014862499
132,1.0,1,1,0.018867924528301886,53,0.9361154131092286,0.0011105799620843685
133,1.0,1,1,0.029411764705882353,34,0.9356473554026741,0.0012880474851579707
134,1.0,1,1,0.045454545454545456,22,0.9351795317249728,0.000808534801101566
135,0.0,0,0,0.0,200,0.9347119419591103,0.0015282015300908825
136,1.0,1,1,0.01639344262295082,61,0.9342445859881309,0.0010164892477494832
137,0.0,0,0,0.0,200,0.9337774636951368,0.0012384721056514535
138,1.0,1,1,0.02631578947368421,38,0.9333105749632893,0.0013642320127952477
139,0.0,0,0,0.0,200,0.9328439196758077,0.001323950945643446
140,1.0,1,1,0.0196078431372549,51,0.9323774977159699,0.0012336266391132229
141,1.0,1,1,0.015873015873015872,63,0.9319113089671119,0.0013677570412197846
142,0.0,0,0,0.0,200,0.9314453533126285,0.0013723849878442707
143,1.0,1,1,0.009523809523809525,105,0.9309796306359722,0.001288283626213559
144,1.0,1,1,0.013333333333333334,75,0.9305141408206543,0.0014784039447355705
145,0.0,0,0,0.0,200,0.9300488837502441,0.0012697656198361073
146,1.0,1,1,0.05263157894736842,19,0.9295838593083691,0.0011562487802860375
147,1.0,1,1,0.01,100,0.929119067378715,0.0011340130578173556
148,0.0,0,0,0.0,200,0.9286545078450257,0.001140672499204811
149,0.0,0,0,0.0,200,0.9281901805911033,0.001287964945713611
150,0.0,0,0,0.0,200,0.9277260855008077,0.0013697226403746755
151,1.0,1,1,0.009433962264150943,106,0.9272622224580573,0.0014755572635792458
152,0.0,0,0,0.0,200,0.9267985913468284,0.0012582689529153867
153,0.0,0,0,0.0,200,0.926335192051155,0.0013932465525613225
154,1.0,1,1,0.03225806451612903,31,0.9258720244551295,0.0015604208259197372
155,0.0,0,0,0.0,200,0.925409088442902,0.0015151105100812857
156,1.0,1,1,0.013157894736842105,76,0.9249463838986807,0.0014239726413889959
157,1.0,1,1,0.02631578947368421,38,0.9244839107067314,0.0016740873453320666
158,1.0,1,1,0.043478260869565216,23,0.9240216687513781,0.0012101851832045688
159,1.0,1,1,0.024390243902439025,41,0.9235596579170025,0.0012850157762863447
160,0.0,0,0,0.0,200,0.923097878088044,0.0014692262673997902
161,1.0,1,1,0.0196078431372549,51,0.9226363291490001,0.0013790090810039592
162,1.0,1,1,0.015873015873015872,63,0.9221750109844257,0.0013183732590978108
163,1.0,1,1,0.02564102564102564,39,0.9217139234789336,0.0011861792335343452
164,0.0,0,0,0.0,200,0.9212530665171942,0.0014255263399900286
165,0.0,0,0,0.0,200,0.9207924399839357,0.0018748202289862092
166,1.0,1,1,0.03225806451612903,31,0.9203320437639437,0.0015673115835412436
167,1.0,1,1,0.019230769230769232,52,0.9198718777420618,0.0015968238640198251
168,1.0,1,1,0.0053475935828877,187,0.9194119418031909,0.0016463417251898476
169,1.0,1,1,0.006024096385542169,166,0.9189522358322894,0.0012731740901373602
170,0.0,0,0,0.0,200,0.9184927597143733,0.0015849918825915665
171,0.0,0,0,0.0,200,0.9180335133345161,0.0015080031332036015
172,0.0,0,0,0.0,200,0.917574496577849,0.0016256839262678113
173,1.0,1,1,0.03225806451612903,31,0.9171157093295601,0.000773224160507051
174,1.0,1,1,0.020833333333333332,48,0.9166571514748953,0.002104607139244763
175,1.0,1,1,0.038461538461538464,26,0.916198822899158,0.0014857216883683577
176,0.0,0,0,0.0,200,0.9157407234877085,0.0015094084246084095
177,1.0,1,1,0.047619047619047616,21,0.9152828531259647,0.0013949328089698351
178,1.0,1,1,0.009900990099009901,101,0.9148252116994018,0.001147517616460607
179,1.0,1,1,0.045454545454545456,22,0.9143677990935521,0.0019086362821822563
180,1.0,1,1,0.010416666666666666,96,0.9139106151940054,0.001534043939576198
181,1.0,1,1,0.010869565217391304,92,0.9134536598864085,0.001948204830272437
182,1.0,1,1,0.037037037037037035,27,0.9129969330564653,0.00148270732434294
183,1.0,1,1,0.02,50,0.9125404345899372,0.0018062672961968928
184,0.0,0,0,0.0,200,0.9120841643726423,0.0017279458557095495
185,1.0,1,1,0.013513513513513514,74,0.911628122290456,0.0015844723147401473
186,1.0,1,1,0.012345679012345678,81,0.9111723082293108,0.001666151725253763
187,1.0,1,1,0.012987012987012988,77,0.9107167220751963,0.00142633841672947
188,1.0,1,1,0.05555555555555555,18,0.9102613637141588,0.001523440770243825
189,0.0,0,0,0.0,200,0.9098062330323018,0.0016481720062074602
190,0.0,0,0,0.0,200,0.9093513299157857,0.001608239277084067
191,1.0,1,1,0.012048192771084338,83,0.9088966542508279,0.0019956656861580425
192,0.0,0,0,0.0,200,0.9084422059237025,0.0018122146491441526
193,1.0,1,1,0.043478260869565216,23,0.9079879848207407,0.0012513606102995413
194,1.0,1,1,0.011764705882352941,85,0.9075339908283304,0.0017379873453618904
195,1.0,1,1,0.012195121951219513,82,0.9070802238329163,0.0016716632178541636
196,0.0,0,0,0.0,200,0.9066266837209999,0.001701332077209372
197,1.0,1,1,0.013513513513513514,74,0.9061733703791394,0.0015229965730041669
198,1.0,1,1,0.0055248618784530384,181,0.9057202836939499,0.0017670150375516586
199,0.0,0,0,0.0,200,0.9052674235521029,0.0018491601242203615
200,1.0,1,1,0.045454545454545456,22,0.9048147898403269,0.002417974520622837
201,1.0,1,1,0.016129032258064516,62,0.9043623824454068,0.0011920059384259907
202,1.0,1,1,0.03225806451612903,31,0.9039102012541841,0.002035912111750804
203,1.0,1,1,0.012195121951219513,82,0.9034582461535571,0.0018495360207275442
204,1.0,1,1,0.02127659574468085,47,0.9030065170304803,0.00173311116637667
205,1.0,1,1,0.02040816326530612,49,0.9025550137719651,0.001999773405556453
206,1.0,1,1,0.005376344086021506,186,0.9021037362650792,0.00202130191966169
207,0.0,0,0,0.0,200,0.9016526843969468,0.002029437508754199
208,0.0,0,0,0.0,200,0.9012018580547484,0.001970785488083493
209,1.0,1,1,0.041666666666666664,24,0.900751257125721,0.0013287079079115454
210,0.0,0,0,0.0,200,0.9003008814971583,0.0024561547263874674
211,0.0,0,0,0.0,200,0.8998507310564098,0.0021521380781268818
212,1.0,1,1,0.0136986301369863,73,0.8994008056908817,0.002149611859812006
213,1.0,1,1,0.005747126436781609,174,0.8989511052880362,0.0022720610666029884
214,0.0,0,0,0.0,200,0.8985016297353923,0.002272067988087656
215,1.0,1,1,0.007518796992481203,133,0.8980523789205246,0.001958301891218276
216,1.0,1,1,0.02,50,0.8976033527310644,0.002000089429493528
217,1.0,1,1,0.012987012987012988,77,0.8971545510546989,0.0019938202823176618
218,1.0,1,1,0.022222222222222223,45,0.8967059737791716,0.0025857998219887828
219,0.0,0,0,0.0,200,0.8962576207922821,0.0023430518723398562
220,1.0,1,1,0.015151515151515152,66,0.895809491981886,0.002337948212340107
221,0.0,0,0,0.0,200,0.8953615872358951,0.00208766007606755
222,1.0,1,1,0.02857142857142857,35,0.8949139064422772,0.002184822951260555
223,1.0,1,1,0.021739130434782608,46,0.8944664494890561,0.002339112777364157
224,1.0,1,1,0.018518518518518517,54,0.8940192162643116,0.001963331334721901
225,0.0,0,0,0.0,200,0.8935722066561794,0.0021253505838831187
226,0.0,0,0,0.0,200,0.8931254205528514,0.002196506209220388
227,1.0,1,1,0.06666666666666667,15,0.8926788578425751,0.002438639343017712
228,0.0,0,0,0.0,200,0.8922325184136538,0.0019936557282926514
229,1.0,1,1,0.0625,16,0.891786402154447,0.0036250104749342427
230,1.0,1,1,0.014285714285714285,70,0.8913405089533699,0.002200154561640894
231,1.0,1,1,0.05,20,0.8908948386988933,0.002797881314472761
232,0.0,0,0,0.0,200,0.8904493912795439,0.002233720366421039
233,0.0,0,0,0.0,200,0.8900041665839042,0.0022285485942848027
234,1.0,1,1,0.013333333333333334,75,0.8895591645006123,0.002466819186229259
235,1.0,1,1,0.030303030303030304,33,0.889114384918362,0.0021297888967885888
236,0.0,0,0,0.0,200,0.8886698277259029,0.0021371992217609657
237,1.0,1,1,0.01639344262295082,61,0.88822549281204,0.0021063751444701474
238,0.0,0,0,0.0,200,0.887781380065634,0.0021146200312432482
239,1.0,1,1,0.029411764705882353,34,0.8873374893756012,0.0023063274009687386
240,0.0,0,0,0.0,200,0.8868938206309135,0.002125930604452151
241,1.0,1,1,0.041666666666666664,24,0.8864503737205981,0.002623401832958431
242,0.0,0,0,0.0,200,0.8860071485337379,0.0019590920439441105
243,1.0,1,1,0.006493506493506494,154,0.885564144959471,0.0022522411345089967
244,1.0,1,1,0.015625,64,0.8851213628869913,0.0024098655321722617
245,1.0,1,1,0.009900990099009901,101,0.8846788022055478,0.0021842811509504645
246,1.0,1,1,0.017241379310344827,58,0.8842364628044451,0.001971175036581779
247,0.0,0,0,0.0,200,0.883794344573043,0.0019354211496829521
248,1.0,1,1,0.030303030303030304,33,0.8833524474007565,0.002408806205053362
249,1.0,1,1,0.008064516129032258,124,0.8829107711770562,0.001971985593333938
250,1.0,1,1,0.005154639175257732,194,0.8824693157914677,0.0020651405354431885
251,1.0,1,1,0.010869565217391304,92,0.882028081133572,0.0022711393943134917
252,0.0,0,0,0.0,200,0.8815870670930053,0.0025539198188198496
253,0.0,0,0,0.0,200,0.8811462735594588,0.0023312997389439262
254,1.0,1,1,0.012987012987012988,77,0.8807057004226791,0.002262875491786482
255,0.0,0,0,0.0,200,0.8802653475724679,0.0026088423457258612
256,0.0,0,0,0.0,200,0.8798252148986817,0.0022651997418142856
257,1.0,1,1,0.04,25,0.8793853022912325,0.0020421172905480487
258,1.0,1,1,0.01694915254237288,59,0.8789456096400869,0.002944283362998927
259,1.0,1,1,0.02,50,0.8785061368352669,0.0023582550897845067
260,1.0,1,1,0.05263157894736842,19,0.8780668837668493,0.0011961522786326608
261,1.0,1,1,0.005235602094240838,191,0.8776278503249659,0.0023682861940426928
262,1.0,1,1,0.024390243902439025,41,0.8771890363998035,0.0023502417103239766
263,0.0,0,0,0.0,200,0.8767504418816037,0.0024965043579140912
264,1.0,1,1,0.041666666666666664,24,0.876312066660663,0.002582675302013134
265,0.0,0,0,0.0,200,0.8758739106273327,0.0023904141572347725
266,0.0,0,0,0.0,200,0.8754359736720191,0.002580811676452868
267,1.0,1,1,0.012048192771084338,83,0.8749982556851831,0.0026228380322362386
268,1.0,1,1,0.0070921985815602835,141,0.8745607565573406,0.0023185782273240545
269,1.0,1,1,0.023255813953488372,43,0.8741234761790619,0.002283695967784043
270,1.0,1,1,0.027777777777777776,36,0.8736864144409725,0.0019261874359573186
271,1.0,1,1,0.011111111111111112,90,0.873249571233752,0.0023842000683847193
272,1.0,1,1,0.014285714285714285,70,0.8728129464481352,0.002325072749850473
273,1.0,1,1,0.034482758620689655,29,0.8723765399749112,0.002325558384623507
274,1.0,1,1,0.01020408163265306,98,0.8719403517049238,0.0025717886847833513
275,1.0,1,1,0.015873015873015872,63,0.8715043815290714,0.0026155729225600167
276,0.0,0,0,0.0,200,0.8710686293383069,0.0020989054920210037
277,1.0,1,1,0.0196078431372549,51,0.8706330950236377,0.0015472422368760569
278,1.0,1,1,0.014925373134328358,67,0.870197778476126,0.0025570300453752557
279,0.0,0,0,0.0,200,0.869762679586888,0.002423609937177389
280,1.0,1,1,0.012048192771084338,83,0.8693277982470946,0.0025472956094526157
281,0.0,0,0,0.0,200,0.8688931343479711,0.0024589343671686946
282,1.0,1,1,0.05263157894736842,19,0.8684586877807972,0.002684291548671593
283,1.0,1,1,0.027777777777777776,36,0.8680244584369068,0.0023330591417713245
284,1.0,1,1,0.011111111111111112,90,0.8675904462076884,0.002618706047198632
285,1.0,1,1,0.037037037037037035,27,0.8671566509845846,0.002105325480914433
286,0.0,0,0,0.0,200,0.8667230726590923,0.002440010173449991
287,1.0,1,1,0.005291005291005291,189,0.8662897111227629,0.002303371352984979
288,1.0,1,1,0.058823529411764705,17,0.8658565662672015,0.002205327091574231
289,1.0,1,1,0.010416666666666666,96,0.865423637984068,0.002786322928083488
290,0.0,0,0,0.0,200,0.864990926165076,0.002664666414784733
291,1.0,1,1,0.043478260869565216,23,0.8645584307019936,0.002327034504243942
292,1.0,1,1,0.012345679012345678,81,0.8641261514866426,0.0025974682774423494
293,1.0,1,1,0.05555555555555555,18,0.8636940884108993,0.0028884498848735043
294,0.0,0,0,0.0,200,0.8632622413666939,0.0027184516551642447
295,1.0,1,1,0.05263157894736842,19,0.8628306102460106,0.003439708717786217
296,1.0,1,1,0.047619047619047616,21,0.8623991949408877,0.002284496498759836
297,0.0,0,0,0.0,200,0.8619679953434173,0.002516670600307407
298,1.0,1,1,0.012195121951219513,82,0.8615370113457457,0.002443843322774827
299,1.0,1,1,0.006993006993006993,143,0.8611062428400729,0.0026972489511892135
300,1.0,1,1,0.008771929824561403,114,0.8606756897186528,0.002505310534233056
301,1.0,1,1,0.0196078431372549,51,0.8602453518737936,0.0023618943164097693
302,1.0,1,1,0.012048192771084338,83,0.8598152291978567,0.002197067515226081
303,1.0,1,1,0.05,20,0.8593853215832578,0.002042257230641553
304,1.0,1,1,0.02,50,0.8589556289224661,0.002197584352979902
305,0.0,0,0,0.0,200,0.8585261511080049,0.0022357530948647762
306,1.0,1,1,0.041666666666666664,24,0.858096888032451,0.002312852862814907
307,1.0,1,1,0.0136986301369863,73,0.8576678395884348,0.0022123884341890016
308,0.0,0,0,0.0,200,0.8572390056686406,0.002600783911111648
309,1.0,1,1,0.03125,32,0.8568103861658064,0.002025783195222175
310,1.0,1,1,0.014285714285714285,70,0.8563819809727236,0.0020616532178662187
311,0.0,0,0,0.0,200,0.8559537899822373,0.0027055054834636393
312,1.0,1,1,0.022222222222222223,45,0.8555258130872462,0.0028269101606888903
313,1.0,1,1,0.017857142857142856,56,0.8550980501807026,0.002894540074131718
314,1.0,1,1,0.02857142857142857,35,0.8546705011556123,0.00255670912239501
315,1.0,1,1,0.018518518518518517,54,0.8542431659050345,0.002589146721961529
316,1.0,1,1,0.015151515151515152,66,0.853816044322082,0.0033632731532579232
317,1.0,1,1,0.041666666666666664,24,0.8533891362999211,0.0027277160734229255
318,1.0,1,1,0.022727272727272728,44,0.8529624417317712,0.0031048903064484793
319,1.0,1,1,0.02040816326530612,49,0.8525359605109053,0.002598047777665874
320,1.0,1,1,0.023255813953488372,43,0.8521096925306499,0.0025385598493685817
321,1.0,1,1,0.02702702702702703,37,0.8516836376843847,0.002098181900077474
322,1.0,1,1,0.0056179775280898875,178,0.8512577958655425,0.0027868578320348197
323,0.0,0,0,0.0,200,0.8508321669676098,0.002453262779454235
324,1.0,1,1,0.012048192771084338,83,0.850406750884126,0.002749710025915214
325,1.0,1,1,0.016666666666666666,60,0.8499815475086839,0.002486466533688751
326,1.0,1,1,0.012658227848101266,79,0.8495565567349297,0.0025804021084074027
327,0.0,0,0,0.0,200,0.8491317784565623,0.002902620957174804
328,0.0,0,0,0.0,200,0.8487072125673341,0.002611216204604716
329,1.0,1,1,0.08333333333333333,12,0.8482828589610505,0.003461892813599358
330,1.0,1,1,0.011111111111111112,90,0.84785871753157,0.0025158302239207033
331,1.0,1,1,0.01,100,0.8474347881728043,0.003108790024998598
332,1.0,1,1,0.012345679012345678,81,0.847011070778718,0.0031619233044761197
333,1.0,1,1,0.02,50,0.8465875652433287,0.003603315123182256
334,1.0,1,1,0.05263157894736842,19,0.846164271460707,0.002126758743543178
335,0.0,0,0,0.0,200,0.8457411893249768,0.0026796000670583453
336,1.0,1,1,0.010416666666666666,96,0.8453183187303144,0.003135935507089016
337,1.0,1,1,0.04,25,0.8448956595709493,0.0031517460267059504
338,0.0,0,0,0.0,200,0.8444732117411639,0.002991797450085869
339,1.0,1,1,0.005780346820809248,173,0.8440509751352934,0.0025319438644703695
340,1.0,1,1,0.008333333333333333,120,0.8436289496477257,0.0028189232614143594
341,1.0,1,1,0.038461538461538464,26,0.8432071351729019,0.0021153300454338584
342,0.0,0,0,0.0,200,0.8427855316053156,0.0026487780336174184
343,1.0,1,1,0.011494252873563218,87,0.8423641388395129,0.0029276647287536004
344,0.0,0,0,0.0,200,0.8419429567700932,0.002784328851630562
345,1.0,1,1,0.015384615384615385,65,0.8415219852917082,0.0027493189657644295
346,0.0,0,0,0.0,200,0.8411012242990624,0.0030785333331732547
347,1.0,1,1,0.007407407407407408,135,0.8406806736869129,0.003332262846136776
348,1.0,1,1,0.008,125,0.8402603333500694,0.003468861895147711
349,1.0,1,1,0.009900990099009901,101,0.8398402031833945,0.00317665166135112
350,1.0,1,1,0.043478260869565216,23,0.8394202830818028,0.0026520611363989506
351,0.0,0,0,0.0,200,0.839000572940262,0.0033930659569159616
352,1.0,1,1,0.047619047619047616,21,0.8385810726537919,0.002842489020189359
353,1.0,1,1,0.015873015873015872,63,0.8381617821174651,0.0032900545916091355
354,1.0,1,1,0.016129032258064516,62,0.8377427012264064,0.002641310590749321
355,1.0,1,1,0.05,20,0.8373238298757932,0.0021830219600815328
356,1.0,1,1,0.018867924528301886,53,0.8369051679608553,0.0025909483067049943
357,1.0,1,1,0.005681818181818182,176,0.8364867153768749,0.002810385231482955
358,1.0,1,1,0.008064516129032258,124,0.8360684720191865,0.0033523123375714696
359,1.0,1,1,0.01639344262295082,61,0.835650437783177,0.002959250166657243
360,1.0,1,1,0.041666666666666664,24,0.8352326125642855,0.0028048667324280054
361,1.0,1,1,0.012658227848101266,79,0.8348149962580034,0.0033781835720933314
362,1.0,1,1,0.047619047619047616,21,0.8343975887598745,0.003497592525534509
363,1.0,1,1,0.010638297872340425,94,0.8339803899654946,0.0032915343125499387
364,1.0,1,1,0.014492753623188406,69,0.833563399770512,0.0033615321752723253
365,1.0,1,1,0.006993006993006993,143,0.8331466180706267,0.0026519004083759563
366,1.0,1,1,0.013333333333333334,75,0.8327300447615915,0.003310344651108608
367,1.0,1,1,0.005,200,0.8323136797392108,0.003231240490858909
368,1.0,1,1,0.05263157894736842,19,0.8318975228993413,0.0020777501616210336
369,1.0,1,1,0.0058823529411764705,170,0.8314815741378917,0.00322198029333616
370,1.0,1,1,0.006993006993006993,143,0.8310658333508228,0.0031487905113856875
371,1.0,1,1,0.02564102564102564,39,0.8306503004341474,0.0036029786301346924
